Key,Type,Desc,Vietnamese
DefaultFont,0,,UIResources/Base/Fonts/DefaultFont
TitleFont,0,,UIResources/Base/Fonts/DefaultFonts/Almendra-Bold SDF
action_allow,0,,Cho Phép
action_UrgentHaul,0,,Khuân Vác Khẩn Cấp
action_attack,0,,Tấn Công
action_attack_disabled,0,,Tấn Công Bị Vô Hiệu
action_attacking,0,,Đang Tấn Công
action_banish,0,,Trục Xuất
action_cancel,0,,Hủy Bỏ
action_abortgoal,0,,Hủy Hành Động
action_chopping,0,,Đốn Hạ Cây
action_cutallvegetation,0,,Phát Quang Toàn Bộ Cây Cỏ
action_cutting,0,,Cắt Tỉa
action_deconstructing,0,,Tháo Dỡ Công Trình
action_draft,0,,Động Viên
action_drafted,0,,Đã Động Viên
action_activate,0,,Kích Hoạt
action_activateBell,0,,Rung Chuông Báo Động
action_deactivateBell,0,,Tắt Chuông Báo Động
action_equipping,0,,Trang bị
action_forbid,0,,Cấm
action_harvesting,0,,Thu hoạch
action_hunting,0,,Săn bắt
action_list,0,,Hành động
action_mining,0,,Khai mỏ
action_upgradeBuilding,0,,Thay thế công trình
uprade_building_title,0,,Thay Thế Công Trình
uprade_building_info,0,,Lựa chọn cấu trúc công trình mà bạn muốn thay thế.\nMột số công trình đặc thù có thể không hiển thị trong danh sách hoặc không hỗ trợ tính năng thay thế trực tiếp.\nMột số phương án thay thế vật liệu sẽ bị vô hiệu hóa nếu trong kho không có sẵn lượng vật liệu xây dựng cần thiết.
uprade_building_selected,0,,Đã Chọn
uprade_building_possible,0,,Các Phương Án Thay Thế Khả Dụng
hud_info_show_stability_vis,0,,Hiển thị chỉ số độ vững chắc quanh con trỏ chuột
ctrl_ShowhideStability,0,,Hiển thị chỉ số độ vững chắc kết cấu
ctrl_UpgradeBuilding,0,,Thay Thế / Nâng Cấp Công Trình
action_copybuilding,0,,Sao chép
resource_name_enemy,0,,Thi Thể Kẻ Địch
resource_name_worker,0,,Thi Thể Dân Làng
grave,0,,Nơi an nghỉ của
window_state_open,0,,Mở
window_state_closed,0,,Đóng
